city,region,latitude,longitude,accuracy.meters,year,flag,inat.person,notes,hyperlink,ID
mechanicsburg,pennsylvania,40.215446,-77.028244,78,2022,,lovecamp,,https://www.inaturalist.org/observations/116897555,116897555
annan,ontario,44.626804,-80.869613,75,2022,,jamesmitchell4,,https://www.inaturalist.org/observations/120972469,120972469
manchester,vermont,43.18515,-73.050278,72,2022,y,skchiodi,,https://www.inaturalist.org/observations/119524260,119524260
pittsburg,pennsylvania,40.482616,-80.017838,65,2022,,grizzop,,https://www.inaturalist.org/observations/118207561,118207561
pittsburg,pennsylvania,40.482616,-80.017838,65,2022,,grizzop,,https://www.inaturalist.org/observations/118207561,118207561
altamont,new york,42.714347,-74.047724,65,2022,,dominid,,https://www.inaturalist.org/observations/122646525,122646525
toronto,ontario,43.701433,-79.318206,61,2022,,handy2,,https://www.inaturalist.org/observations/119928120,119928120
toronto,ontario,43.701433,-79.318206,61,2022,,handy2,,https://www.inaturalist.org/observations/119928120,119928120
pittsburg,pennsylvania,40.520047,-79.921625,54,2022,,nickfox,,https://www.inaturalist.org/observations/116749172,116749172
pittsburg,pennsylvania,40.520047,-79.921625,54,2022,,nickfox,,https://www.inaturalist.org/observations/116749172,116749172
xenia,ohio,39.694862,-83.936158,53,2022,,nubertx,,https://www.inaturalist.org/observations/118912038,118912038
xenia,ohio,39.694862,-83.936158,53,2022,,nubertx,,https://www.inaturalist.org/observations/118912038,118912038
pickering,ontario,43.822738,-79.08853,53,2022,,weaselgirl,,https://www.inaturalist.org/observations/118930253,118930253
marcellus,new york,42.992912,-76.339972,42,2022,,calamacow75,,https://www.inaturalist.org/observations/123268351,123268351
kingston,ontario,44.245011,-76.525695,41,2022,,jocelyn-willis-papi,,https://www.inaturalist.org/observations/124760514,124760514
buffalo,new york,42.853991,-78.752286,38,2022,,joedziewa,,https://www.inaturalist.org/observations/120466433,120466433
saugeen shores,ontario,44.439621,-81.401338,37,2022,,naomibeau,,https://www.inaturalist.org/observations/121251042,121251042
toronto,ontario,43.704778,-79.384413,37,2022,,beckyraboy,,https://www.inaturalist.org/observations/119713782,119713782
toronto,ontario,43.726736,-79.368209,37,2022,,vivianratcliffe,,https://www.inaturalist.org/observations/123727677,123727677
purcellville,virginia,39.0697,-77.740195,36,2022,,lauren_sullivan,,https://www.inaturalist.org/observations/116279438,116279438
purcellville,virginia,39.0697,-77.740195,36,2022,,lauren_sullivan,,https://www.inaturalist.org/observations/116279438,116279438
rochester,minnesota,44.078924,-92.532877,35,2022,,vannavanessapasse,,https://www.inaturalist.org/observations/119785528,119785528
rochester,minnesota,44.078924,-92.532877,35,2022,,vannavanessapasse,,https://www.inaturalist.org/observations/119785528,119785528
irwin,pennsylvania,40.324886,-79.725591,35,2022,,kourtney21,,https://www.inaturalist.org/observations/118360671,118360671
toronto,ontario,43.655648,-79.484612,35,2022,,summitmicroschool,,https://www.inaturalist.org/observations/118790515,118790515
toronto,ontario,43.655648,-79.484612,35,2022,,summitmicroschool,,https://www.inaturalist.org/observations/118790515,118790515
toronto,ontario,43.762527,-79.151798,35,2022,,gmack_15,,https://www.inaturalist.org/observations/122490715,122490715
harrisburg,virginia,38.472105,-78.816581,35,2022,,jordanbennett,,https://www.inaturalist.org/observations/117525136,117525136
phoenicia,new york,42.098339,-74.290367,35,2022,,localareamom,,https://www.inaturalist.org/observations/119149654,119149654
ithaca,new york,42.450582,-76.476774,32,2022,,jmois,,https://www.inaturalist.org/observations/119454868,119454868
ithaca,new york,42.450582,-76.476774,32,2022,,jmois,,https://www.inaturalist.org/observations/119454868,119454868
richfield,ohio,41.205492,-81.586824,31,2022,,interpretivetwerp,,https://www.inaturalist.org/observations/118565448,118565448
summit county ,ohio,41.205492,-81.586824,31,2022,,interpretivetwerp,,https://www.inaturalist.org/observations/118565448,118565448
burlington,vermont,43.303739,-79.86093,30,2022,,animist,,https://www.inaturalist.org/observations/119886327,119886327
clifton park,new york,42.808925,-73.795456,30,2022,,peggy36,,https://www.inaturalist.org/observations/120515225,120515225
cumberland,maryland,39.659973,-78.789994,29,2022,,aidanrf,,https://www.inaturalist.org/observations/119247419,119247419
greensburg,pennsylvania,40.322257,-79.485515,28,2022,,melissa577,,https://www.inaturalist.org/observations/118167918,118167918
hempfield township,pennsylvania,40.322257,-79.485515,28,2022,,melissa577,,https://www.inaturalist.org/observations/118167918,118167918
lexington,virginia,37.789339,-79.442269,28,2022,,carey50,,https://www.inaturalist.org/observations/116189969,116189969
lexington,virginia,37.789339,-79.442269,28,2022,,carey50,,https://www.inaturalist.org/observations/116189969,116189969
cumberland,maryland,39.655914,-78.768781,28,2022,,cosmognat,,https://www.inaturalist.org/observations/117926843,117926843
salt lake city,utah,40.754962,-111.857205,27,2022,,sgrizzell,,https://www.inaturalist.org/observations/117945297,117945297
salt lake city,utah,40.754962,-111.857205,27,2022,,sgrizzell,,https://www.inaturalist.org/observations/117945297,117945297
dorset,vermont,43.18515,-73.050278,27,2022,,skchiodi,,https://www.inaturalist.org/observations/119524260,119524260
duncan,BC,48.8155,-123.610234,24,2022,,dan1133,,https://www.inaturalist.org/observations/118456219,118456219
duncan,BC,48.8155,-123.610234,24,2022,,dan1133,,https://www.inaturalist.org/observations/118456219,118456219
victoria,BC,48.429391,-123.35275,24,2022,yes,abby-pewpew,,https://www.inaturalist.org/observations/119128156,119128156
wheeling,west virginia,40.08423,-80.718235,24,2022,,emilyh22,,https://www.inaturalist.org/observations/118565509,118565509
wheeling,west virginia,40.08423,-80.718235,24,2022,,emilyh22,,https://www.inaturalist.org/observations/118565509,118565509
warrenton,virginia,38.722135,-77.816819,23,2022,,correllscience,,https://www.inaturalist.org/observations/123892362,123892362
warrington,virginia,38.722135,-77.816819,23,2022,,correllscience,,https://www.inaturalist.org/observations/123892362,123892362
warrenton,west virginia,38.722135,-77.816819,23,2022,,correllscience,,https://www.inaturalist.org/observations/123892362,123892362
ithaca,new york,42.447703,-76.471191,23,2022,,elliot_meyers,,https://www.inaturalist.org/observations/118706646,118706646
ithaca,new york,42.447703,-76.471191,23,2022,,elliot_meyers,,https://www.inaturalist.org/observations/118706646,118706646
oxford,ohio,39.49777,-84.732613,21,2022,,botanyguy,,https://www.inaturalist.org/observations/118211003,118211003
oxford,ohio,39.49777,-84.732613,21,2022,,botanyguy,,https://www.inaturalist.org/observations/118211003,118211003
strathroy,ontario,42.965193,-81.61472,21,2022,,pfletcher25,,https://www.inaturalist.org/observations/119250662,119250662
strathroy,ontario,42.965193,-81.61472,21,2022,,pfletcher25,,https://www.inaturalist.org/observations/119250662,119250662
red hook,new york,42.027092,-73.836778,21,2022,,sarstern,,https://www.inaturalist.org/observations/118590122,118590122
red hook,new york,42.027092,-73.836778,21,2022,,sarstern,,https://www.inaturalist.org/observations/118590122,118590122
wilmington,new york,44.37062,-73.726295,20,2022,,nature_luver,,https://www.inaturalist.org/observations/120439406,120439406
leechburg,pennsylvania,40.623592,-79.611825,19,2022,y,vipergirl32,,https://www.inaturalist.org/observations/119919363,119919363
leechburg,pennsylvania,40.623592,-79.611825,19,2022,,vipergirl32,,https://www.inaturalist.org/observations/119919363,119919363
coleridge,north carolina,35.683462,-79.611611,19,2022,,ozarkakerzfarm,,https://www.inaturalist.org/observations/119091709,119091709
